Axial pos,Area Ratio,Prandlt,Mach,Gamma,Temp,Throat Diam,Viscocity,C sub P,P sub c,g,c star,R
meters,Unitless,Unitless,Unitless,Unitless,K,in,millipose,KJ/Kg*K,bar,ft/s^2,m/s,in
0.09122537,1.05E+01,0.6168,5.69E-02,1.22E+00,3.44E+03,0.92596,1.0458,2.10E+00,3.44E+01,32.17405,1757,0.61625
0.09494012,9.64E+00,0.6168,6.19E-02,1.22E+00,3.44E+03,0.92596,1.0458,2.10E+00,3.44E+01,32.17405,1757,0.61625
0.096436404,8.87E+00,0.6168,6.74E-02,1.22E+00,3.44E+03,0.92596,1.0457,2.10E+00,3.44E+01,32.17405,1757,0.61625
0.099159731,7.54E+00,0.6168,7.93E-02,1.22E+00,3.44E+03,0.92596,1.0455,2.10E+00,3.43E+01,32.17405,1757,0.61625
0.100347907,6.92E+00,0.6168,8.65E-02,1.22E+00,3.44E+03,0.92596,1.0454,2.10E+00,3.43E+01,32.17405,1757,0.61625
0.103244721,5.75E+00,0.6168,1.04E-01,1.22E+00,3.44E+03,0.92596,1.0452,2.10E+00,3.43E+01,32.17405,1757,0.61625
0.106551618,4.48E+00,0.6168,1.34E-01,1.22E+00,3.43E+03,0.92596,1.0446,2.10E+00,3.41E+01,32.17405,1757,0.61625
0.109470444,3.49E+00,0.6168,1.73E-01,1.22E+00,3.43E+03,0.92596,1.0436,2.10E+00,3.39E+01,32.17405,1757,0.61625
0.111609226,2.85E+00,0.6169,2.14E-01,1.22E+00,3.42E+03,0.92596,1.0423,2.10E+00,3.35E+01,32.17405,1757,0.61625
0.114332553,2.12E+00,0.6171,2.94E-01,1.22E+00,3.41E+03,0.92596,1.0389,2.10E+00,3.27E+01,32.17405,1757,0.61625
0.118592981,1.40E+00,0.6176,4.78E-01,1.22E+00,3.35E+03,0.92596,1.0272,2.10E+00,3.00E+01,32.17405,1757,0.61625
0.1195451,1.30E+00,0.6179,0.53,1.22E+00,3.34E+03,0.92596,1.023,2.10E+00,2.91E+01,32.17405,1757,0.61625
0.120056148,1.25E+00,0.618,0.561,1.22E+00,3.32E+03,0.92596,1.0202,2.10E+00,2.85E+01,32.17405,1757,0.61625
0.120835674,1.20E+00,0.6182,0.598,1.22E+00,3.31E+03,0.92596,1.0168,2.10E+00,2.78E+01,32.17405,1757,0.61625
0.121628916,1.15E+00,0.6184,0.643,1.22E+00,3.29E+03,0.92596,1.0124,2.09E+00,2.69E+01,32.17405,1757,0.61625
0.122569986,1.10E+00,0.6187,0.7,1.22E+00,3.26E+03,0.92596,1.0065,2.09E+00,2.58E+01,32.17405,1757,0.61625
0.123799092,1.05E+00,0.6192,0.78,1.22E+00,3.22E+03,0.92596,0.99736,2.09E+00,2.40E+01,32.17405,1757,0.61625
0.127,1.00E+00,0.6207,1.00E+00,1.23E+00,3.09E+03,0.92596,9.69E-01,2.08E+00,1.93E+01,32.17405,1757,0.61625
0.12954,1.101963,0.624,1.354,1.23E+00,2.85E+03,0.92596,0.91283,2.06E+00,1.24E+01,32.17405,1757,0.61625
0.13208,1.21E+00,0.6256,1.507,1.23E+00,2.74E+03,0.92596,0.88619,2.05E+00,9.95E+00,32.17405,1757,0.61625
0.13462,1.35E+00,0.6274,1.654,1.23E+00,2.62E+03,0.92596,0.85981,2.04E+00,7.97E+00,32.17405,1757,0.61625
0.136838055,1.46E+00,0.6286,1.72E+00,1.23E+00,2.55E+03,0.92596,0.84177,2.03E+00,6.82E+00,32.17405,1757,0.61625
0.145960592,2.01E+00,0.6329,2.02E+00,1.24E+00,2.30E+03,0.92596,0.78142,2.00E+00,3.97E+00,32.17405,1757,0.61625
0.155083129,2.60E+00,0.6361,2.23E+00,1.24E+00,2.13E+03,0.92596,0.73842,1.98E+00,2.65E+00,32.17405,1757,0.61625
0.164205666,3.32E+00,0.6389,2.42E+00,1.24E+00,1.98E+03,0.92596,0.7013,1.95E+00,1.84E+00,32.17405,1757,0.61625
0.173328203,4.12E+00,0.6413,2.58E+00,1.25E+00,1.86E+03,0.92596,0.67017,1.93E+00,1.34E+00,32.17405,1757,0.61625
0.18245074,5.00E+00,0.6433,2.72E+00,1.25E+00,1.76E+03,0.92596,0.64339,1.91E+00,1.01E+00,32.17405,1757,0.61625
