2,1/8,5/16-24,17 1.6 11 9.1 1.9 12.0 1.6 10.0 12
3,3/16,3/8-24,19 3.2 13 10.7 1.9 12.0 1.6 10.0 12
4,1/4,7/16-20,21 4.4 15 12.4 2.4 14.0 1.6 11.5 12
5,5/16,1/2-20,23 6.0 16 14.0 2.4 14.0 1.6 11.5 12
6,3/8,9/16-18,25 7.5 18 15.6 2.5 15.5 1.6 12.7 12
8,1/2,3/4-16,30 10.0 22 20.6 2.5 17.5 2.4 14.3 15
10,5/8,7/8-14,34 12.5 26 23.9 2.5 20.0 2.4 16.7 15
12,3/4,1 1/16-12,41 16.0 32 29.2 3.3 23.0 2.4 19.0 15
14,7/8,1 3/16-12,45 18.0 35 32.3 3.3 23.0 2.4 19.0 15
16,1,1 5/16-12,49 21.0 38 35.5 3.3 23.0 3.2 19.0 15
20,1 1/4,1 5/8-12,58 27.0 48 43.5 3.3 23.0 3.2 19.0 15
24,1 1/2,1 7/8-12,65 33.0 54 49.8 3.3 23.0 3.2 19.0 15
32,2,2 1/2-12,88 45.0 70 65.7 3.3 23.0 3.2 19.0 15
