file_name,fuel_choice,fuel_CdA,ox_CdA,A_star,L_star,m_dot_fu_mean,m_dot_ox_mean,OF_mean,p_fu_mean_psig,p_ox_mean_psig,pc_mean_psig,overall_pressure_dev_psig,rho_fu_mean,rho_ox_mean,cstar_expected_mean_mps,cstar_actual_mean_mps,cstar_eff_mean
GG_test_low_20250526_203849.csv,JetA,7.21E-06,1.87E-05,0.000160041,56.437,0.261,0.151,0.58,505,516,375,5,810,49,1261,1044,0.828
GG_test_low_20250526_205511.csv,JetA,7.21E-06,1.87E-05,0.000160041,56.437,0.18,0.153,0.85,417,503,353,2,810,48,1403,1219,0.869
GG_test_low_20250526_234849.csv,JetA,7.21E-06,1.87E-05,0.000160041,40.312,0.109,0.151,1.391,366,490,334,4,810,47,1632,1481,0.907
GG_test_low_20250527_024632.csv,JetA,7.21E-06,1.87E-05,0.000160041,28.219,0.151,0.085,0.566,284,309,230,2,810,30,1258,1146,0.911
GG_test_low_20250527_031223.csv,Isopropanol,7.21E-06,1.87E-05,0.000160041,28.219,0.134,0.113,0.843,336,395,289,3,786,38,1534,1362,0.888
GG_test_low_20250527_033233.csv,Isopropanol,7.21E-06,1.87E-05,0.000160041,28.219,0.125,0.128,1.024,364,443,321,3,786,42,1619,1466,0.905
GG_test_low_20250527_052605.csv,Isopropanol,7.21E-06,1.87E-05,0.000160041,28.219,0.141,0.109,0.774,335,386,285,3,786,37,1498,1320,0.881
GG_test_low_20250527_071156.csv,Ethanol,7.21E-06,1.87E-05,0.000160041,28.219,0.059,0.174,3.042,301,520,284,5,791,50,1682,1416,0.846
GG_test_low_20250527_072810.csv,Ethanol,7.21E-06,1.87E-05,0.000160041,28.219,0.1,0.186,1.896,411,586,382,3,792,56,1813,1534,0.846
GG_test_low_20250527_074543.csv,Ethanol,7.21E-06,1.87E-05,0.000160041,28.219,0.093,0.195,2.154,405,603,378,4,792,57,1787,1511,0.847
GG_test_low_20250527_232918.csv,JetA,7.21E-06,1.87E-05,0.000160041,28.219,0.154,0.114,0.742,334,390,278,3,810,37,1353,1206,0.891
GG_test_low_20250528_000312.csv,JetA,7.21E-06,1.87E-05,0.000160041,28.219,0.054,0.111,4.163,204,333,178,5,810,32,1685,1302,0.803
GG_test_low_20250528_005953.csv,JetA,7.21E-06,1.87E-05,0.000160041,28.219,0.042,0.102,3.826,195,310,177,5,810,30,1721,1483,0.858
